Depth (m),GR,RHOB,NPHI,RESD,DT,DTs,Porosity
633.527,37.558,2.49,0.078,29.365,66.595,116.295,0.101326899879373
633.679,35.177,2.537,0.067,20.727,66.214,114.447,0.0729794933655006
633.832,34.631,2.525,0.053,16.555,65.697,113.287,0.0802171290711701
633.984,34.683,2.496,0.044,16.572,66.22,114.214,0.106332138590203
634.136,35.776,2.5,0.039,17.707,65.343,113.231,0.103942652329749
634.289,35.9,2.515,0.038,19.945,64.712,112.198,0.0949820788530465
634.441,33.98,2.523,0.037,22.356,65.205,112.126,0.0902031063321385
634.594,32.714,2.535,0.036,22.132,65.582,112.167,0.0830346475507765
634.746,34.305,2.543,0.034,19.723,65.728,113.181,0.0782556750298685
634.898,36.001,2.536,0.035,17.722,65.466,113.556,0.082437275985663
635.051,33.138,2.521,0.038,16.542,65.697,112.567,0.0913978494623656
635.203,28.294,2.505,0.041,16.017,66.336,111.363,0.100955794504182
635.356,26.112,2.495,0.042,16.073,67.232,111.849,0.106929510155316
635.508,26.079,2.493,0.041,16.47,67.379,112.077,0.108124253285544
635.66,25.451,2.491,0.04,16.755,66.626,110.538,0.109318996415771
635.813,24.267,2.49,0.041,17.075,66.857,110.382,0.109916367980884
635.965,24.685,2.515,0.045,18.661,67.235,111.198,0.0906362545018006
636.118,30.436,2.522,0.049,22.339,66.332,112.361,0.0864345738295319
636.27,39.09,2.502,0.051,27.434,66.446,116.812,0.0984393757503002
636.422,43.435,2.539,0.053,28.242,67.235,120.487,0.0762304921968786
636.575,42.636,2.584,0.052,24.209,67.351,120.266,0.04921968787515
636.727,41.039,2.563,0.05,20.527,67.728,120.088,0.0618247298919566
636.88,42.422,2.533,0.046,17.782,67.873,121.083,0.0798319327731093
637.032,43.489,2.541,0.045,16.129,68.018,121.919,0.0750300120048019
637.184,42.05,2.545,0.044,15.211,68.424,121.864,0.0726290516206483
637.337,38.574,2.528,0.044,14.514,67.898,119.095,0.0828331332533013
637.489,40.296,2.518,0.044,14.771,67.119,118.62,0.0888355342136856
637.642,53.32,2.519,0.045,16.49,66.595,124.838,0.0882352941176469
637.794,70.821,2.532,0.051,18.696,66.968,136.685,0.0804321728691476
637.946,82.6,2.579,0.064,19.578,68.278,148.217,0.052220888355342
638.099,87.079,2.597,0.089,19.433,67.898,151.043,0.0414165666266506
638.251,88.962,2.566,0.106,19.204,67.003,150.622,0.0600240096038416
638.404,90.457,2.573,0.096,17.949,66.217,149.723,0.0558223289315726
638.556,86.612,2.584,0.069,16.52,65.814,146.03,0.04921968787515
638.708,73.989,2.577,0.048,15.153,65.814,136.524,0.053421368547419
638.861,56.375,2.585,0.04,11.678,65.583,124.715,0.0486194477791116
639.013,41.437,2.592,0.038,8.26,65.35,116.075,0.0444177671068426
639.166,36.243,2.575,0.036,6.773,64.828,112.566,0.0546218487394957
639.318,37.319,2.539,0.037,6.197,64.828,113.092,0.0762304921968786
639.47,38.981,2.483,0.049,5.425,64.945,114.117,0.10984393757503
639.623,41.377,2.407,0.076,4.221,65.692,116.652,0.15546218487395
639.775,43.541,2.374,0.104,3.157,66.336,118.931,0.175270108043217
639.928,42.467,2.379,0.121,2.675,66.48,118.622,0.164748637189582
640.08,38.186,2.373,0.125,2.661,66.742,116.87,0.168382798304058
640.232,33.672,2.366,0.128,2.799,66.073,113.469,0.172622652937613
640.385,31.7,2.376,0.125,2.913,65.176,110.993,0.16656571774682
640.537,31.43,2.383,0.12,2.954,64.8,110.227,0.162325863113265
640.69,31.262,2.376,0.11,2.953,64.538,109.704,0.16656571774682
640.842,31.32,2.37,0.105,2.945,64.798,110.172,0.170199878861296
640.994,31.709,2.385,0.102,2.884,65.06,110.8,0.161114476075106
641.147,31.484,2.384,0.099,2.797,64.945,110.498,0.161720169594185
641.299,30.658,2.383,0.094,2.771,66.353,112.502,0.162325863113265
641.452,30.755,2.402,0.088,2.804,68.276,115.81,0.150817686250757
641.604,31.299,2.4,0.091,2.82,69.033,117.363,0.152029073288916
641.756,30.509,2.399,0.101,2.741,69.294,117.414,0.152634766807995
641.909,28.366,2.394,0.108,2.597,68.944,115.777,0.154639175257732
642.061,27.017,2.392,0.107,2.512,68.944,115.128,0.155852031534263
642.214,27.921,2.403,0.105,2.502,69.555,116.586,0.149181322013341
642.366,28.983,2.408,0.105,2.5,70.047,117.932,0.146149181322013
642.518,29.967,2.41,0.108,2.477,70.714,119.548,0.144936325045482
